Event,Category,Avg Time (sec),Performance Score
30m Wheel Walk,15-18,6.923,0.14449544467831288
30m Wheel Walk,19-29,7.14675,0.14003423287623856
30m Wheel Walk,30+,13.8645,0.0721266544051354
30m Wheel Walk,30-49,15.9965,0.062513674866377
30m Wheel Walk,50+,23.577,0.0424142172456207
400m,0-10,79.3015,0.0126201907383976
400m,0-12,64.32933333333334,0.01554532462685615
400m,13-14,60.95433333333333,0.0164057579256135
400m,15-18,60.00216666666667,0.016679678025995348
400m,19-29,58.0855,0.017216634611911447
400m,30-39,74.995,0.0133677114102857
400m,40+,82.125,0.0121765601217656
400m,40-49,73.76533333333333,0.0135565035066155
400m,50+,72.55499999999999,0.0137826476466129
50m One-Foot,0-10,10.6355,0.0942267841611894
50m One-Foot,0-12,8.726500000000001,0.114685483918567
50m One-Foot,13-14,8.516,0.1174511918151432
50m One-Foot,15-18,8.134166666666665,0.12303390161408076
50m One-Foot,19-29,8.234833333333333,0.12143583406129124
50m One-Foot,30+,12.023666666666664,0.0831693049818413
50m One-Foot,30-49,12.707999999999998,0.0786905886056027
50m One-Foot,50+,15.928666666666668,0.0627798936927133
800m,0-10,165.12175000000002,0.0060607595593667
800m,0-12,139.073,0.0071959059298532
800m,13-14,132.760875,0.0075326503168843
800m,15-18,130.81737500000003,0.00764700195235
800m,19-29,125.351875,0.0079787692608057
800m,30-39,160.27208333333334,0.006270769289372801
800m,40+,169.29366666666667,0.0059068955129252
800m,40-49,148.99666666666667,0.006711559542719
800m,50+,152.869,0.0065415486462265
Cyclocross Standard,0-14,1886.625,0.0005303306026091499
Cyclocross Standard,15-18,1820.0,0.0005495542420605
Cyclocross Standard,19-29,1849.5665,0.0005408583378379999
Cyclocross Standard,30+,2066.6666666666665,0.0004838709677419
Cyclocross Standard,30-49,2057.333333333333,0.0004860661049902
Cyclocross Standard,50+,1951.6666666666667,0.0005123825789923
Downhill Gliding,0-12,18.737499999999997,0.053747456228630947
Downhill Gliding,13-14,18.68,0.0535331905781584
Downhill Gliding,13-18,16.59,0.0602772754671488
Downhill Gliding,15-18,18.185,0.0549903766840802
Downhill Gliding,19+,18.04,0.0554323725055432
Downhill Gliding,19-29,16.240000000000002,0.0615763546798029
Downhill Gliding,30+,24.355,0.041059330732909
High Jump,0-14,44.5,0.02332285115303975
High Jump,15-18,81.0,0.014021118227453649
High Jump,19+,62.0,0.0161290322580645
High Jump,19-29,126.0,0.0079365079365079
High Jump,30+,86.0,0.0116279069767441
IUF Slalom,0-10,24.468333333333334,0.0410056400700824
IUF Slalom,0-12,21.634999999999998,0.0462232002649261
IUF Slalom,13-14,19.904999999999998,0.05027272345621525
IUF Slalom,15-18,19.33,0.05185051065912915
IUF Slalom,19-29,19.196666666666665,0.05211003097737295
IUF Slalom,30+,25.42333333333333,0.039333945194703
IUF Slalom,30-49,25.126666666666665,0.0397983550013266
IUF Slalom,50+,26.13,0.0382701875239188
Long Jump,0-14,183.33333333333331,0.0057516339869280505
Long Jump,15-18,221.66666666666666,0.00453692648814595
Long Jump,19+,163.33333333333334,0.0061224489795918
Long Jump,19-29,305.0,0.0032786885245901
Long Jump,30+ Place ID Name Distance,216.66666666666663,0.0046153846153846
Marathon Standard,0-14,7355.0,0.00013597966712950002
Marathon Standard,15-20,6724.166666666666,0.00014946262508959998
Marathon Standard,21+,7471.333333333333,0.0001338449183545
Marathon Standard,21-29,7103.0,0.0001407855835562
Marathon Standard,30+,7074.0,0.0001413627367825
Marathon Unlimited,0-12,8639.333333333334,0.0001157496720425
Marathon Unlimited,0-19,6822.333333333333,0.0001465774173059
Marathon Unlimited,13-18,6406.0,0.0001561036528254
Marathon Unlimited,19-24,5702.0,0.0001753770606804
Marathon Unlimited,19-29,6700.333333333333,0.0001492463061539
Marathon Unlimited,25-29,5592.333333333333,0.0001788162365142
Marathon Unlimited,30+,9543.666666666666,0.0001047815305088
Marathon Unlimited,30-39,5860.333333333333,0.0001706387577498
Marathon Unlimited,40-49,6362.0,0.0001571832756994
Marathon Unlimited,50-54,7955.333333333333,0.0001257018352467
Marathon Unlimited,55+,8200.0,0.0001219512195121
Muni Cross Country Beginner,0-14,1685.1666666666665,0.0005950419254146
Muni Cross Country Beginner,15-18,1514.0,0.0006629321714715999
Muni Cross Country Beginner,19-29,1496.3333333333333,0.000668645510485
Muni Cross Country Beginner,30+,2003.3333333333333,0.0004991680532445
Muni Cross Country Beginner,30-49,1535.6666666666667,0.000651182982418
Muni Cross Country Beginner,50+,2084.0,0.0004798464491362
Muni Cross Country Elite Standard,0-18,3915.0,0.00025701167193319997
Muni Cross Country Elite Standard,19+,4497.0,0.0002223704692016
Muni Cross Country Elite Standard,19-29,3346.6666666666665,0.0002988047808764
Muni Cross Country Elite Standard,30-49,4074.6666666666665,0.0002454188481675
Muni Cross Country Elite Standard,50+,4979.666666666667,0.0002008166543945
Muni Downhill Advanced,0-18,85.35,0.0118113505210279
Muni Downhill Advanced,19+,117.03333333333336,0.0085445741953859
Muni Downhill Advanced,19-29,75.00333333333333,0.013332740767077
Muni Downhill Advanced,30-49,91.0,0.0109890109890109
Muni Downhill Advanced,50+,154.0,0.0064935064935064
Muni Downhill Beginner,0-14,221.74450000000002,0.0045110887051407
Muni Downhill Beginner,15-29,159.95625,0.0062545816480953
Muni Downhill Beginner,30+,244.3515,0.0040924651577747
Muni Downhill Beginner,30-49,180.1555,0.0055507603153942
Muni Downhill Beginner,50+,261.1385,0.0038293855559406
Muni Uphill,0-14,361.35,0.0028133894212703002
Muni Uphill,15-18,282.4416666666666,0.0037523919519700496
Muni Uphill,19+,462.55,0.0021619284401686
Muni Uphill,19-29,190.53333333333333,0.0052484254723582
Muni Uphill,30-49,239.1,0.0041823504809703
Muni Uphill,50+,961.7333333333332,0.0010397892693747
Platform High Jump,0-18,79.66666666666666,0.0145731707317073
Platform High Jump,19+,53.0,0.0188679245283018
Platform High Jump,19-29,131.0,0.0076335877862595
Platform High Jump,30+,81.0,0.0123456790123456
Platform Long Jump,0-18,182.5,0.00579365079365075
Platform Long Jump,19+,204.16666666666669,0.00549902738291185
Rail Race,0-10,5.0,0.2
Rail Race,0-13,6.75,0.1481481481481481
Rail Race,11-12,6.1,0.1639344262295082
Rail Race,13-14,14.8,0.0675675675675675
Rail Race,14-15,9.2,0.108695652173913
Rail Race,15-16,29.75,0.0336134453781512
Rail Race,16-19,10.75,0.0930232558139534
Rail Race,17-18,30.6,0.0326797385620915
Rail Race,19-21,46.28,0.0216076058772687
Rail Race,20-24,5.0,0.2
Rail Race,22-29,36.25,0.0275862068965517
Rail Race,25+,6.449999999999999,0.1550387596899225
Rail Race,30+,6.5,0.1538461538461538
Slow Backward,0-10,16.582500000000003,0.06229964881895525
Slow Backward,11-12,31.43,0.03355060364800095
Slow Backward,13-15,33.1575,0.03354014102184055
Slow Backward,16+,102.505,0.0097556216769913
Slow Backward,16-29,70.495,0.0141854032200865
Slow Backward,30+,9.175,0.108991825613079
Slow Forward,0-10,24.205,0.04146567676678385
Slow Forward,11-12,29.815,0.0335822122742732
Slow Forward,13-15,63.989999999999995,0.0159570432218173
Slow Forward,16+,82.96,0.0120540019286403
Slow Forward,16-29,114.11,0.0087634738410305
Slow Forward,30+,11.833333333333334,0.0845070422535211
Speed Trials,0-18,18.971666666666664,0.058141174105413446
Speed Trials,19+,23.903333333333336,0.0418351694324361
Speed Trials,19-21,14.343333333333334,0.0697188008366256
Speed Trials,22-25,11.146666666666668,0.089712918660287
Speed Trials,26+,13.82,0.0723589001447178
Stillstand,0-11,17.879583333333333,0.07090597749403195
Stillstand,12-14,91.21333333333332,0.0109633094576816
Stillstand,12-18,369.9066666666667,0.0027033846375662
Stillstand,15+,904.83,0.0011051799785595
Stillstand,19+,338.71500000000003,0.0029523345585521
Track Coasting,0-12,31.416666666666664,0.033370706951492954
Track Coasting,13-14,76.0,0.0131578947368421
Track Coasting,13-18,76.8,0.0130208333333333
Track Coasting,15-18,90.3,0.0110741971207087
Track Coasting,19+,111.06666666666666,0.009156812055333249
Trials,0-14,22.5,0.0444444444444444
Trials,0-17,17.5,0.0571428571428571
Trials,15-17,56.0,0.0178571428571428
Trials,18-20,63.5,0.0235185185185185
Trials,21+,22.5,0.0444444444444444
Trials,21-23,149.0,0.0067114093959731
Trials,24-29,149.0,0.0067114093959731
Trials,30+,66.0,0.0151515151515151
